Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2016,12,4,05:50:30,4.3,37.04,71.37,94.4,AFGHANISTAN-TAJIKISTAN BORD REG.,5199653,1480830630
2016,12,3,19:42:11,4.7,10.93,91.89,10,"ANDAMAN ISLANDS, INDIA REGION",5199625,1480794131
2016,12,1,16:52:50,5.2,29.99,80.63,36.6,NEPAL-INDIA BORDER REGION,5199436,1480611170
2016,12,1,06:46:34,4.6,36.71,71.13,229.3,AFGHANISTAN-TAJIKISTAN BORD REG.,5199391,1480574794
2016,11,27,23:35:21,5.4,27.84,86.53,10,NEPAL,5198995,1480289721
2016,11,24,14:16:37,4.6,33.24,72.77,35,PAKISTAN,5198707,1479996997
2016,11,22,13:12:47,4.2,36.52,70.29,212.7,"HINDU KUSH REGION, AFGHANISTAN",5198516,1479820367
2016,11,21,00:15:39,4.3,36.51,70.33,199.2,"HINDU KUSH REGION, AFGHANISTAN",5198402,1479687339
2016,11,18,06:54:38,4.5,36.62,71.37,90.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5198212,1479452078
2016,11,17,21:45:56,5,32.68,96.1,10,"QINGHAI, CHINA",5198179,1479419156
2016,11,16,22:59:25,4.2,28.02,76.7,10,NORTHERN INDIA,5198069,1479337165
2016,11,15,17:03:56,4.2,37.53,72.22,194.2,TAJIKISTAN,5197941,1479229436
2016,11,15,16:02:56,5.3,36.52,70.86,190.2,"HINDU KUSH REGION, AFGHANISTAN",5197930,1479225776
2016,11,15,02:10:21,4.6,24.6,92.3,34,INDIA-BANGLADESH BORDER REGION,5198080,1479175821
2016,11,14,13:14:56,4.7,37.19,71.57,98.3,AFGHANISTAN-TAJIKISTAN BORD REG.,5197865,1479129296
2016,11,13,14:18:32,4.5,36.48,70.41,147.6,"HINDU KUSH REGION, AFGHANISTAN",5197762,1479046712
2016,11,11,19:34:50,4.2,37.76,70.11,50,AFGHANISTAN-TAJIKISTAN BORD REG.,5197587,1478892890
2016,11,8,00:14:47,4.2,37.26,71.22,99.5,AFGHANISTAN-TAJIKISTAN BORD REG.,5198906,1478564087
2016,11,6,01:44:31,4.2,35.99,69.37,120.5,"HINDU KUSH REGION, AFGHANISTAN",5197078,1478396671
2016,10,31,13:25:53,4.2,34.9,85.97,15.9,XIZANG,5196686,1477920353
2016,10,30,23:57:16,4.4,36.36,71.28,89.2,AFGHANISTAN-TAJIKISTAN BORD REG.,5196642,1477871836
2016,10,26,06:29:09,4.7,23.12,92.79,41.9,INDIA-BANGLADESH BORDER REGION,5196328,1477463349
2016,10,26,02:21:58,4.9,22.89,94.61,107.7,MYANMAR,5196314,1477448518
2016,10,24,00:56:27,4.4,36.21,71.03,99.4,AFGHANISTAN-TAJIKISTAN BORD REG.,5196174,1477270587
2016,10,23,15:56:41,4.6,26.07,90.26,22.3,NORTHEASTERN INDIA,5196146,1477238201
2016,10,23,10:03:29,4.3,36.61,70.95,206.4,"HINDU KUSH REGION, AFGHANISTAN",5197112,1477217009
2016,10,21,23:31:28,4.5,37.29,71.92,201.9,AFGHANISTAN-TAJIKISTAN BORD REG.,5196083,1477092688
2016,10,20,00:40:01,5.1,36.46,71.24,102.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5195970,1476924001
2016,10,19,23:57:19,4.4,32.83,94.77,10,XIZANG,5195967,1476921439
2016,10,19,07:20:49,4.4,24.81,91.22,30.3,INDIA-BANGLADESH BORDER REGION,5196005,1476861649
2016,10,17,08:24:39,4.2,32.94,95.09,35,XIZANG,5195827,1476692679
2016,10,17,07:33:39,4.6,32.88,95.07,35,XIZANG,5195823,1476689619
2016,10,17,07:14:49,5.9,32.91,94.88,23.3,XIZANG,5195821,1476688489
2016,10,17,05:40:03,4.6,37.15,71.83,149.7,AFGHANISTAN-TAJIKISTAN BORD REG.,5195840,1476682803
2016,10,17,01:56:30,4.4,36.47,70.6,204.6,"HINDU KUSH REGION, AFGHANISTAN",5195804,1476669390
2016,10,17,00:37:14,4.6,36.62,70.83,247,"HINDU KUSH REGION, AFGHANISTAN",5195802,1476664634
2016,10,16,14:19:23,4.1,36.25,70.79,106.9,"HINDU KUSH REGION, AFGHANISTAN",5195782,1476627563
2016,10,15,17:17:28,4.3,37,71.28,103.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5195722,1476551848
2016,10,14,17:23:21,4.4,36.79,71.15,195.1,AFGHANISTAN-TAJIKISTAN BORD REG.,5195590,1476465801
2016,10,12,15:30:18,3.9,36.05,82.38,16.5,"SOUTHERN XINJIANG, CHINA",5196318,1476286218
2016,10,11,17:41:01,4.5,24.83,96.27,32.5,MYANMAR,5195531,1476207661
2016,10,11,07:30:14,4.7,25.25,95,95.3,MYANMAR-INDIA BORDER REGION,5195471,1476171014
2016,10,10,01:58:05,4.4,36.61,70.94,211.5,"HINDU KUSH REGION, AFGHANISTAN",5195414,1476064685
2016,10,7,23:32:42,4.4,36.52,70.33,212.1,"HINDU KUSH REGION, AFGHANISTAN",5195305,1475883162
2016,10,6,23:15:05,4.4,36.11,69.8,113.2,"HINDU KUSH REGION, AFGHANISTAN",5195264,1475795705
2016,10,5,23:44:47,4.2,37.42,72.28,219.2,TAJIKISTAN,5195193,1475711087
2016,10,4,14:19:24,4.3,33.92,75.47,35,EASTERN KASHMIR,5196147,1475590764
2016,10,1,19:26:37,4.2,37.34,71.61,122.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5194995,1475349997
2016,10,1,13:11:23,4.4,34.35,90.37,11.4,"QINGHAI, CHINA",5194945,1475327483
2016,10,1,08:04:39,5.4,34.95,73.63,43.4,PAKISTAN,5194934,1475309079
2016,9,26,19:04:16,4.7,8.35,94.24,10,"NICOBAR ISLANDS, INDIA",5194492,1474916656
2016,9,26,00:13:41,4.4,36.62,71.25,219.2,AFGHANISTAN-TAJIKISTAN BORD REG.,5194387,1474848821
2016,9,23,22:27:25,4.9,8.45,94.43,44.3,"NICOBAR ISLANDS, INDIA",5194229,1474669645
2016,9,22,13:23:43,4.6,25.27,95.58,139.5,MYANMAR-INDIA BORDER REGION,5194098,1474550623
2016,9,20,09:42:33,4.5,37.66,71.8,126,AFGHANISTAN-TAJIKISTAN BORD REG.,5193811,1474364553
2016,9,18,17:14:17,4.2,27.82,85.47,24.9,NEPAL,5193705,1474218857
2016,9,15,02:30:48,5,10.21,91.68,25.8,"ANDAMAN ISLANDS, INDIA",5193330,1473906648
2016,9,14,11:26:51,4.4,36.63,71.05,228.1,AFGHANISTAN-TAJIKISTAN BORD REG.,5193231,1473852411
2016,9,12,18:20:53,4.3,36.39,70.8,136.8,"HINDU KUSH REGION, AFGHANISTAN",5193019,1473704453
2016,9,10,15:27:24,4,28.75,76.58,15.2,NORTHERN INDIA,5192939,1473521244
2016,9,10,00:46:18,4.9,30.18,82.64,35.6,XIZANG,5192803,1473468378
2016,9,8,23:35:06,4.5,8.6,93.88,80.8,"NICOBAR ISLANDS, INDIA",5192720,1473377706
2016,9,6,18:02:24,4.3,35.65,73.61,60.8,NORTHWESTERN KASHMIR,5192496,1473184944
2016,9,5,04:50:14,4.7,34.74,73.1,25.9,PAKISTAN,5192356,1473051014
2016,9,3,21:39:00,4.6,27.17,96.75,59.6,MYANMAR-INDIA BORDER REGION,5192254,1472938740
2016,9,2,14:31:01,4.6,28.65,94.99,23.4,EASTERN XIZANG-INDIA BORDER REG.,5193570,1472826661
2016,9,2,08:19:52,4.5,34.65,72.94,28.3,PAKISTAN,5192128,1472804392
2016,9,2,06:12:49,4.5,36.05,70.39,104.3,"HINDU KUSH REGION, AFGHANISTAN",5192118,1472796769
2016,8,31,09:25:07,4.7,34.34,86.19,32.1,XIZANG,5191934,1472635507
2016,8,30,20:15:45,4,36.63,70.76,207.9,"HINDU KUSH REGION, AFGHANISTAN",5191887,1472588145
2016,8,28,16:57:36,4.4,36.37,70.85,137.4,"HINDU KUSH REGION, AFGHANISTAN",5191718,1472403456
2016,8,28,04:50:24,4.2,36.6,77.17,10,KASHMIR-XINJIANG BORDER REGION,5191655,1472359824
2016,8,27,01:35:08,4.2,31.5,77.68,26.5,NORTHERN INDIA,5191573,1472261708
2016,8,27,01:14:33,4.6,31.53,77.7,31.7,NORTHERN INDIA,5191571,1472260473
2016,8,26,18:20:49,4.7,9.2,93.96,41,"NICOBAR ISLANDS, INDIA",5191558,1472235649
